ds,yhat,yhat_lower,yhat_upper
2018-05-31,447.6106066712418,370.5686342460782,524.3020696519161
2018-06-01,448.4202282244437,374.53751590296093,522.6143461004998
2018-06-04,452.2936573263643,372.43104088211044,533.6494087741967
2018-06-05,454.1046917540295,374.4666599346745,532.8213098578381
2018-06-06,454.66084092964934,378.6997231595527,531.0221021465693
2018-06-07,456.06834613335366,379.1909251330513,533.3717998894192
2018-06-08,456.43725069325194,377.7454316766559,535.2640443087056
2018-06-11,458.7100761744615,379.60595467324913,538.0200233006201
2018-06-12,459.9471878299985,387.33615609396924,542.8709400870515
2018-06-13,459.9365903653106,383.284491521106,536.2342967670106
2018-06-14,460.80068195976827,386.52310630532025,536.4450908119111
2018-06-15,460.6648517632739,378.7212935959245,536.4315716551919
2018-06-18,461.78811064998047,390.3905797404607,544.2022383587603
2018-06-19,462.7982753355521,390.01888151470314,536.1959210550536
2018-06-20,462.65044110828575,387.38160970586864,537.5332535708259
2018-06-21,463.47007692968606,387.7082758485001,537.6312911631242
2018-06-22,463.38290337706707,383.77184861403816,540.6748015829647
2018-06-25,465.17343947098755,387.09104158168225,546.485998968798
2018-06-26,466.5546254766128,384.37109596421317,548.7506297781975
2018-06-27,466.8339176428131,385.51546866271883,536.7876059491041
2018-06-28,468.1231343841165,391.6156163701243,544.5338717171694
2018-06-29,468.53303946745405,394.1859545606207,552.0352685993174
2018-07-02,471.8196494120296,395.7318741280582,552.5917146187862
2018-07-03,473.62119956035787,395.69968346612546,546.5758423137069
2018-07-04,474.26932157374966,396.54165932749953,556.3079304915432
2018-07-05,475.86230351847036,390.8904091164601,555.3696143158047
2018-07-06,476.49909277722224,402.7610477524824,554.6216979112614
2018-07-09,479.9191398505793,400.6924079328754,558.7423650131219
2018-07-10,481.5926612117517,403.4602114292413,555.7904465497437
2018-07-11,482.01190467357713,408.4244937246977,561.0320098977952
2018-07-12,483.2783290633676,404.49532830255794,560.1763054749827
2018-07-13,483.49667907113496,406.2011459182291,561.1914192922472
2018-07-16,485.20368996799334,410.5496028948534,566.4948701237977
2018-07-17,486.1948273717075,408.6757404986635,564.0976870385955
2018-07-18,485.9004313071671,405.9165189357448,561.2161249081329
2018-07-19,486.43809819250964,406.5217267282374,564.370431221451
2018-07-20,485.9291017353219,406.2564257579953,565.029928695893
2018-07-23,485.62451790069713,409.82264123945475,561.229194528977
2018-07-24,486.0518753016643,405.09102826064264,565.6144519662897
2018-07-25,485.2686631406787,407.1394472873378,557.8135296496224
2018-07-26,485.4027034560672,405.1878420461583,564.0766049282527
2018-07-27,484.5833076514508,403.09684197635727,562.2396433141782
2018-07-30,483.9510705351612,404.7390593768824,564.6611485080725
2018-07-31,484.4725635595969,406.38642113157715,556.8750994935137
2018-08-01,483.8800500927084,402.1000088082894,566.6734020264693
2018-08-02,484.2947994834527,410.1231034582965,562.2419128048483
2018-08-03,483.83752027406564,401.87089183946614,558.7336878537114
2018-08-06,484.6692066957704,406.51257155634516,567.9651314391152
2018-08-07,485.76162213067937,413.6580153463724,560.2623019445671
2018-08-08,485.7583556357674,408.1881458563691,568.7057486381321
2018-08-09,486.76657116840795,410.99287750521887,565.9411064239991
2018-08-10,486.89325634017507,407.7736024207101,567.0888787008618
2018-08-13,489.29561448835994,415.31199763397484,565.3763158032767
2018-08-14,490.81619447848396,414.4721151843288,573.6351626597544
2018-08-16,492.48873730034074,415.5242137062662,570.0041818548918
2018-08-17,492.8462430244151,418.4152382387116,573.230849474392
2018-08-20,495.5188567469395,416.2011663527513,572.7907945262664
2018-08-21,496.9967903257817,420.96087919533744,577.2765682939922
2018-08-23,498.4159902313851,422.2533808816588,584.2172895646688
2018-08-24,498.5774265713991,425.85418592640826,576.8597732196116
2018-08-27,500.48595963834737,427.70911305936795,580.63199072042
2018-08-28,501.67989052929556,419.298189692168,578.3021023382872
2018-08-29,501.6579726450096,423.08064595738665,576.2053184054852
2018-08-30,502.5362653276637,426.5434989921442,579.3588945972471
2018-08-31,502.4326014089679,426.8352734344831,580.3173085127231
2018-09-03,503.669239064865,424.5817968124296,580.697756345157
2018-09-04,504.6887115695596,429.14948640094474,579.4221165957437
2018-09-05,504.51778205309984,428.95582759343023,585.0220829337449
2018-09-06,505.2709085467297,430.4287613356522,579.3820342225808
2018-09-07,505.0631203781391,427.61113289741877,579.6040449860227
2018-09-10,506.07117506866115,434.388087529761,583.223345397384
2018-09-11,507.02492119633837,421.7693171601495,585.313251787927
2018-09-12,506.7839670560356,426.4632855551911,581.1341955770611
2018-09-14,507.1541279672851,430.1744765770144,586.8674953885167
2018-09-17,507.7435782687167,429.1328678231726,586.0613972218441
2018-09-18,508.5045196333826,434.23605361293886,586.6322597838083
2018-09-19,508.04265541436945,438.98872479595326,590.6197170412898
2018-09-21,507.89241669942953,432.30310355640904,581.7944269769838
2018-09-24,507.5604881000272,427.56687344207285,582.6669226139144
2018-09-25,507.9995853171036,434.88108828568693,583.026778000146
2018-09-26,507.2205699805232,431.2098516627821,586.5351871377409
2018-09-27,507.3413412449888,431.0600414564367,589.7594620929879
2018-09-28,506.48226455488054,431.02494886376445,586.4727183641603
2018-10-01,505.5022316202574,430.66476485159325,581.6300607007179
2018-10-03,504.96458308480067,427.998521202732,588.4819281265316
2018-10-04,505.07059747805687,418.2805917041603,589.0055577174508
2018-10-05,504.2556088578318,426.2118221626406,582.5735778777007
2018-10-08,503.75189581324787,423.7656168072813,579.613334611813
2018-10-09,504.326829253537,425.12295497251404,587.3638655477051
2018-10-10,503.7788443102774,427.7339468705892,584.3559187433974
2018-10-11,504.22074682491206,425.6348329510252,582.7518779002452
2018-10-12,503.76497894066034,422.0856906245963,581.6249753583893
2018-10-15,504.36984831115217,429.4129134503026,583.1097638326498
2018-10-16,505.28612921408705,430.5005933840196,583.7782572984887
2018-10-17,505.0462995210504,427.9489042807063,583.4915913058738
2018-10-19,505.50769208336703,418.50885875527575,586.1979096339971
2018-10-22,506.35117295072035,423.9336296755931,579.9636793712897
